[2019-08-25 15:31:01]	run	elapsedTime	successRate
[2019-08-25 15:32:27]	1/51	0:00:00	1
[2019-08-25 15:34:25]	2/51	0:01:11	2
[2019-08-25 15:35:55]	3/51	0:03:10	3
[2019-08-25 15:37:01]	4/51	0:04:39	4
[2019-08-25 15:41:38]	5/51	0:05:45	4
[2019-08-25 15:45:57]	6/51	0:10:23	4
[2019-08-25 15:48:09]	7/51	0:14:42	5
[2019-08-25 15:51:23]	8/51	0:16:53	6
[2019-08-25 15:53:23]	9/51	0:20:07	7
[2019-08-25 15:54:31]	10/51	0:22:08	8
[2019-08-25 15:57:36]	11/51	0:23:16	9
[2019-08-25 15:58:53]	12/51	0:26:20	10
[2019-08-25 16:01:02]	13/51	0:27:37	11
[2019-08-25 16:05:30]	14/51	0:29:47	11
[2019-08-25 16:06:32]	15/51	0:34:15	12
