[2019-08-25 18:15:40]	run	elapsedTime	successRate
[2019-08-25 18:17:22]	1/51	0:00:00	1
[2019-08-25 18:18:59]	2/51	0:01:41	2
[2019-08-25 18:19:59]	3/51	0:03:18	3
[2019-08-25 18:21:22]	4/51	0:04:18	4
[2019-08-25 18:22:44]	5/51	0:05:41	5
[2019-08-25 18:23:44]	6/51	0:07:03	6
[2019-08-25 18:24:57]	7/51	0:08:03	7
[2019-08-25 18:26:21]	8/51	0:09:16	8
[2019-08-25 18:27:28]	9/51	0:10:39	9
[2019-08-25 18:28:49]	10/51	0:11:47	10
[2019-08-25 18:29:57]	11/51	0:13:08	11
[2019-08-25 18:31:20]	12/51	0:14:16	12
[2019-08-25 18:32:31]	13/51	0:15:39	13
[2019-08-25 18:33:59]	14/51	0:16:49	14
[2019-08-25 18:35:23]	15/51	0:18:17	15
[2019-08-25 18:36:24]	16/51	0:19:42	16
[2019-08-25 18:37:08]	17/51	0:20:43	17
[2019-08-25 18:38:16]	18/51	0:21:27	18
[2019-08-25 18:39:15]	19/51	0:22:35	19
[2019-08-25 18:40:15]	20/51	0:23:34	20
[2019-08-25 18:41:26]	21/51	0:24:34	21
[2019-08-25 18:42:23]	22/51	0:25:45	22
[2019-08-25 18:43:32]	23/51	0:26:42	23
[2019-08-25 18:44:45]	24/51	0:27:50	24
[2019-08-25 18:45:57]	25/51	0:29:03	25
[2019-08-25 18:46:58]	26/51	0:30:15	26
[2019-08-25 18:48:17]	27/51	0:31:17	27
[2019-08-25 18:49:21]	28/51	0:32:35	28
